depth,cal BP,density,accrate,weight,lycadd,lyc,Abies,Pinus,Juniperus,Betula,Corylus,Carpinus,Castanea,Acer,Salix,Alnus,Fraxinus,Fagus,Tilia,Populus,Juglans,Dec_Querc,Ever_Querc,Ulmus,Sorbus,Rhamnus,Buxus,Tamarix,Ephedra distachya,Ephedra fragilis,Ericacea,Phillyrea,Other Oleaceae,Myrtus,Pistacia,Olea,Prunus-type,Genista,Poaceae,Artemisia,Cichorioideae,Asteroideae,Carduaceae,Chenopodiaceae,Caryophyllaceae,Plantago,Brassicaceae,Gentiana,Fabaceae other,Fabaceae trifolium type,Fabaceae lotus type,Cistacea,Linum,Lamiaceae,Rumex,Galium,Scrophulariaceae,Geraniaceae,Iridaceae,Liliacea,Saxifragaceae,Rosaceae,Ranunculaceae,Poligonaceae,Apiaceae,Boraginaceae,Rubiaceae,Crassulaceae,Sedum,Urtica,Primulaceae,Campanulaceae,Helianthemum,Asphodelus,Ranunculus,Thalictrum,Cyperaceae,Typha,Myriophyllum,Potamogeton,Callitriche,Juncus,Pteridophyte monolete ornament,Ptheridophyte monolete lisa,Pteridophyte trilete,Glomus,Sordariales
373.81,5484.31,1.9,0.05,3.1,41696,51,25,190,27,1,26,,,,,14,,,3,,,2,4,5,,,,,,2,,,,,,,,,8,6,2,,1,2,,1,,,8,,,,,1,,,2,,,,,7,1,,,,,,,,,1,,,,,,,,,,,,5,3,,
380.17,5692.14,2,0.05,3.3,41696,39,10,115,1,3,65,6,,,,24,1,,6,,1,0,5,12,,,,,,2,1,,,,,,,,7,19,4,1,,7,,,4,,2,,2,1,,5,1,,5,,,,,10,1,,2,,,,,,,,,,,1,2,2,8,,,,3,6,1,,2
400,5891.07,1.9,0.05,2.2,41696,126,2,270,1,2,22,,,,,6,,,5,,,3,,,,,,,,,2,,,,,,,,3,3,1,1,,1,,,2,,2,,,,,2,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,7,,,
410.02,6131.32,1.6,0.07,2.5,41696,237,1,199,6,1,40,7,,,1,4,1,,7,,,3,,1,,4,,,,1,2,,,,,,,,1,8,1,4,,2,,,,,5,,,,,12,,1,,,,,,1,,,1,,,,,1,,,,,,1,6,,10,,,,2,3,1,,
421.16,6287.28,1.6,0.07,1.5,41696,214,1,210,12,3,39,6,,,,6,,,5,,,2,3,1,,5,,,,,4,,,,,1,,,6,9,2,4,,6,,,1,,3,,,,,14,,,1,,,1,,3,,,,,,,,,,,,,,2,5,1,10,,,,2,1,1,,5
426.73,6365.26,1.5,0.07,2.2,41696,119,1,201,,1,47,,,,,8,,,9,,3,5,,,,2,,,,,2,,2,,,,,,2,20,,,,5,1,4,,,13,,,,,8,,,,,,,,,,,,,,,,,,,,,,3,,1,7,,,1,3,2,1,,
432.3,6443.24,1.6,0.07,2.1,41696,236,1,165,8,4,74,3,,,,1,2,,17,,,4,2,8,,3,,,,1,2,,,,,,,,3,9,3,4,,1,1,,4,,4,,,,,7,,,1,,,,,7,,,1,,,,,,,,,,,2,2,1,5,,,,3,7,,,3
443.44,6600.16,1.6,0.07,2.6,41696,142,,275,2,6,42,6,,,,5,1,,8,,,1,3,4,,1,,,,,1,,,,,,1,,5,11,4,7,,2,1,2,2,,1,,3,,,4,,,6,,,,,8,,,2,,,,,,,,,,,,1,,1,,,,4,3,2,,1
454.58,6756.12,1.5,0.07,3.2,41696,79,,232,5,12,78,,,,,1,3,,5,,,5,7,6,,2,,,,3,1,1,,,,1,,,3,7,6,5,1,8,,,,,3,,1,,,10,,1,,,,,,1,1,,1,,,,,,,,,,1,2,3,,6,,,,2,4,1,,
465.72,6913.05,1.6,0.07,1.6,41696,110,,206,3,4,44,4,1,,,10,1,,11,,2,2,,5,,,,,,,,,,,,,,,4,7,3,3,,4,1,,,,6,,,,,1,,,6,,,,,10,,,1,,,,1,,,,,,,3,,1,,,,,,3,,,
